discipline,team,alias,canonical,rule,alias_shots,canonical_shots,alias_books,canonical_books,keep
M,CAN,HARNDEN EJ,HARNDEN E,initials extend,298,940,OWG2014_..WMCC2024,PCCC2022..WMCC2026,no: both in WMCC2024_Res
M,CHN,BA D,BA DX,initials extend,362,432,WMCC2017..WMCC2019,OWG2014_..WMCC2014,yes
M,CHN,WANG ZY,WANG Z,initials extend,164,1566,WJCC2017..WJCC2017,OWG2022_..WMCC2026,yes
M,CHN,XU XM,XU X,initials extend,432,1294,OWG2014_..WMCC2014,OQE2017_..WMCC2026,yes
M,CHN,ZANG J,ZANG JL,initials extend,318,432,OQE2017_..WMCC2017,OWG2014_..WMCC2014,yes
M,DEN,SOEE O,SOEE OR,initials extend,60,202,ECC2022_..ECC2022_,WMCC2021..WMCC2022,yes
M,DEN,STJERNE HANSEN R,STJERNE R,surname extends,171,1116,OWG2014_..OWG2014_,ECC2014_..WMCC2016,yes
M,DEN,THUNE JACOBSEN T,THUNE T,surname extends,18,592,OWG2022_..OWG2022_,ECC2021_..WMCC2022,yes
M,KOR,JEONG YS,JEONG Y,initials extend,220,370,WMCC2021..WMCC2021,PCCC2023..WMCC2024,yes
M,KOR,KIM CM,KIM C,initials extend,384,1032,OQE2021_..WMCC2022,OQE2025_..WMCC2026,yes
M,KOR,KIM EB,KIM E,initials extend,14,314,WJCC2022..WJCC2022,PCCC2024..WMCC2025,yes
M,KOR,KIM HJ,KIM H,initials extend,14,316,WJCC2022..WJCC2022,PCCC2024..WMCC2025,check: several extensions
M,KOR,KIM H,KIM HK,initials extend,316,564,PCCC2024..WMCC2025,OQE2021_..WMCC2022,check: several extensions
M,KOR,KIM J,KIM JM,initials extend,100,220,PCCC2024..WMCC2025,WMCC2021..WMCC2021,yes
M,KOR,KIM MC,KIM M,initials extend,42,468,PACC2017..PACC2017,OWG2018_..WMCC2023,yes
M,KOR,KIM S,KIM SH,initials extend,402,711,PACC2018..WMCC2019,OQE2021_..WMCC2022,yes
M,KOR,KIM TH,KIM T,initials extend,142,340,WMCC2016..WMCC2016,PCCC2022..WMCC2023,check: several extensions
M,KOR,KIM TG,KIM T,initials extend,52,340,WJCC2015..WJCC2015,PCCC2022..WMCC2023,check: several extensions
M,KOR,LEE JH,LEE J,initials extend,188,871,WMCC2021..WMCC2021,PACC2018..WMCC2023,check: several extensions
M,KOR,LEE JB,LEE J,initials extend,14,871,WJCC2022..WJCC2022,PACC2018..WMCC2023,check: several extensions
M,KOR,LEE KJ,LEE K,initials extend,323,574,PACC2019..WJCC2017,OWG2018_..WMCC2024,check: several extensions
M,KOR,LEE KB,LEE K,initials extend,304,574,PACC2017..WJCC2017,OWG2018_..WMCC2024,check: several extensions
M,KOR,LEE KIJ,LEE K,initials extend,38,574,WUNI2017..WUNI2017,OWG2018_..WMCC2024,check: several extensions
M,KOR,LEE KIB,LEE K,initials extend,38,574,WUNI2017..WUNI2017,OWG2018_..WMCC2024,check: several extensions
M,KOR,OH ES,OH E,initials extend,58,346,PACC2017..PACC2017,OWG2018_..WUNI2017,yes
M,KOR,PARK JD,PARK J,initials extend,200,370,WMCC2016..WMCC2016,PCCC2023..WMCC2024,yes
M,KOR,PARK S,PARK SW,initials extend,196,220,WJCC2025..WJCC2025,WMCC2021..WMCC2021,yes
M,KOR,PYO JM,PYO J,initials extend,14,282,WJCC2022..WJCC2022,PCCC2024..WMCC2025,yes
M,KOR,SEONG SH,SEONG S,initials extend,298,474,PACC2017..WMCC2022,OWG2018_..WUNI2017,yes
M,KOR,YOO MH,YOO M,initials extend,58,573,WMCC2016..WMCC2016,OQE2025_..WMCC2026,yes
M,NOR,PETERSSON H,PETERSSON HV,initials extend,244,1220,ECC2015_..ECC2016_,ECC2014_..WMCC2016,yes
M,SUI,LACHAT P,LACHAT-COUCHEPIN P,surname extends,650,1056,ECC2021_..WMCC2023,ECC2024_..WMCC2025,yes
M,SUI,SCHWARZ-VAN BERKEL,SCHWARZ B,surname extends,1260,2680,ECC2023_..WMCC2025,ECC2015_..WMCC2023,yes
M,SWE,WRANA R,WRANAA R,surname extends,188,4197,ECC2016_..ECC2016_,ECC2017_..WMCC2026,yes
W,DEN,KNUDSEN LA,KNUDSEN L,initials extend,94,540,ECC2017_..OWG2018_,ECC2018_..WWCC2021,yes
W,HUN,BIRO BE,BIRO B,initials extend,72,378,WJCC2017..WJCC2017,ECC2022_..WJCC2017,no: both in WJCC2017_Res
W,HUN,BIRO BL,BIRO B,initials extend,52,378,WJCC2017..WJCC2017,ECC2022_..WJCC2017,no: both in WJCC2017_Res
W,HUN,NAGY LK,NAGY L,initials extend,130,170,WJCC2020..WJCC2020,WJCC2017..WJCC2020,no: both in WJCC2020_Res
W,KOR,KANG BB,KANG B,initials extend,42,229,WJCC2022..WJCC2023,WJCC2025..WJCC2026,yes
